ID,이름,카테고리,도구
1,바벨 백스쿼트,하체,바벨
2,프론트 스쿼트,하체,바벨
3,저처 스쿼트,하체,바벨
4,바벨 불가리안 스플릿 스쿼트,하체,바벨
5,덤벨 불가리안 스플릿 스쿼트,하체,덤벨
6,덤벨 스플릿 스쿼트,하체,덤벨
7,맨몸 스플릿 스쿼트,하체,맨몸
8,에어 스쿼트,하체,맨몸
9,점프 스쿼트,하체,맨몸
10,덤벨 고블릿 스쿼트,하체,덤벨
11,케틀벨 고블릿 스쿼트,하체,케틀벨
12,컨벤셔널 데드리프트,하체,바벨
13,루마니안 데드리프트,하체,바벨
14,스모 데드리프트,하체,바벨
15,레그 프레스,하체,머신
16,레그 컬,하체,머신
17,레그 익스텐션,하체,머신
18,스탠딩 카프 레이즈 머신,하체,머신
19,힙 어덕션 머신,하체,머신
20,런지,하체,맨몸
21,덤벨 런지,하체,덤벨
22,스텝업,하체,맨몸
23,중량 스텝업,하체,기타
24,힙 쓰러스트,하체,기타
25,바벨 힙 쓰러스트,하체,바벨
26,브이 스쿼트,하체,머신
27,리버스 브이 스쿼트,하체,머신
28,글루트 킥백 머신,하체,머신
29,힙 어브덕션 머신,하체,머신
30,시티드 카프 레이즈 머신,하체,머신
31,정지 백 스쿼트,하체,바벨
32,트랩바 데드리프트,하체,기타
33,스미스머신 스플릿 스쿼트,하체,머신
34,스미스머신 데드리프트,하체,머신
35,스미스머신 스쿼트,하체,머신
36,케이블 힙 어브덕션,하체,머신
37,핵 스쿼트 머신,하체,머신
38,정지 데드리프트,하체,바벨
39,정지 스모 데드리프트,하체,바벨
40,바벨 박스 스쿼트,하체,바벨
41,바벨 프론트 랙 런지,하체,바벨
42,바벨 점프 스쿼트,하체,바벨
43,바벨 런지,하체,바벨
44,바벨 레터럴 런지,하체,바벨
45,바벨 스플릿 스쿼트,하체,바벨
46,바벨 스탠딩 카프 레이즈,하체,바벨
47,스티프 레그 데드리프트,하체,바벨
48,맨몸 오버헤드 스쿼트,하체,맨몸
49,덤벨 스모 스쿼트,하체,덤벨
50,덤벨 레그 컬,하체,덤벨
51,덤벨 스쿼트,하체,덤벨
52,바벨 핵 스쿼트,하체,바벨
53,시티드 레그 컬,하체,머신
54,힙 쓰러스트 머신,하체,머신
55,맨몸 카프 레이즈,하체,맨몸
56,글루트 브릿지,하체,맨몸
57,덤벨 루마니안 데드리프트,하체,덤벨
58,라잉 힙 어브덕션,하체,맨몸
59,싱글 레그 글루트 브릿지,하체,맨몸
60,피스톨 박스 스쿼트,하체,맨몸
61,사이드 라잉 클램,하체,맨몸
62,맨몸 원레그 데드리프트,하체,맨몸
63,바벨 원레그 데드리프트,하체,바벨
64,덤벨 원레그 데드리프트,하체,덤벨
65,케틀벨 데드리프트,하체,케틀벨
66,케틀벨 스모 데드리프트,하체,케틀벨
67,덤벨 스모 데드리프트,하체,덤벨
68,덤벨 스티프 레그 데드리프트,하체,덤벨
69,덤벨 레터럴 런지,하체,덤벨
70,케틀벨 레터럴 런지,하체,케틀벨
71,맨몸 레터럴 런지,하체,맨몸
